Grain Number,Angle in degrees,Length of rice,Width of rice,Orientation in Radian
0,139.25694720509068,439.9754677797773,86.9041563582457,0.8596959082098511
1,30.710693231826106,237.61556540982556,55.46122505128385,-1.0347936143295928
2,29.399638250555867,211.72179588654026,56.663933837424615,-1.0576758404274311
3,125.08820129701306,225.0269517943868,48.16291118862082,0.6124046412354227
4,127.11893814193645,239.38457678710228,53.49345727104082,0.6478476854208974
5,97.94481013186811,211.56082336904606,56.529729897755075,0.1386630952469035
6,73.42259855783695,234.0375096386263,45.194101852800095,-0.28933023659060164
7,52.618857285907076,188.9340383885461,60.42490352523772,-0.6524240185188108
8,69.31601697229173,261.19535345244674,47.81591039368368,-0.3610036062601348
9,77.75288612927065,267.1659503494874,56.06173947545487,-0.21375246091089445
SuperIndianSaila Pic 1 total count is ,10
10,132.1803695533141,287.38785427381225,58.903874965280124,0.7361863284133013
11,26.48398970315551,184.63302195161492,46.922930524914825,-1.1085635074105573
12,31.769837333755135,238.513244347992,51.64132210000838,-1.0163080624978529
13,25.345320355048685,222.0702286652684,56.228927403690754,-1.1284370366265588
14,95.95150812273388,237.06122323139903,51.989380327224055,0.10387341220089312
15,88.70969650515416,205.74196551669615,51.36426751669696,-0.022520044335049737
16,137.85208748106834,233.02329328363513,54.82349168397326,0.8351764804970022
17,132.107813388863,244.65226850336256,57.89274340974031,0.7349199844510107
18,86.8186769023519,268.1088827697156,55.10011163457841,-0.055524562623704435
19,84.79367854172926,218.2239080018081,53.0243479746104,-0.09086745136405687
SuperIndianSaila Pic 2 total count is ,10
20,137.24762122889922,314.2817541318139,66.98963911603289,0.8246265541794606
21,4.794557914607907,205.03258254599325,49.546823503688586,-1.4871155050074354
22,130.5546773926613,269.52792105558234,57.731698335438885,0.7078126475860484
23,106.91318803054739,296.2432667700494,63.70255013623517,0.29519081814194725
24,30.02212312863331,268.8661687408857,60.66542845895861,-1.0468114297611042
25,163.1780201193041,240.86145749092412,52.438435945619155,1.27719739117251
26,168.2939767243547,278.703407113587,52.97709666375783,1.3664876783197943
27,55.63565900125699,229.79102182622213,46.92890412845248,-0.5997708957061421
28,135.1054189284373,291.31568803553,60.345925180206414,0.7872380707926033
29,82.3083665651182,225.43292673727234,65.66214239646227,-0.13424432829516827
SuperIndianSaila Pic 3 total count is ,10
30,112.11293416586471,290.80938831807015,65.52425185372881,0.38594350847108505
31,12.979763849669595,193.2703039588736,50.57539676370471,-1.3442567114868278
32,129.70778763989057,266.7685976841367,52.09020567502582,0.6930316329987988
33,179.30057421812973,277.7712988267241,60.793950205958325,1.5585890440279246
34,106.56369195806883,290.82176845673325,58.013298200856575,0.2890909609544076
35,162.56669998749666,239.9761530809284,51.88319477534867,1.2665278420887447
36,32.298080543676335,238.16208717663915,57.525566984125966,-1.0070884792334243
37,53.957379431109544,217.03985019062569,47.505036128114114,-0.6290623999741701
38,134.1639856214499,288.08957479905035,57.32231959139511,0.7708069598977347
SuperIndianSaila Pic 4 total count is ,9
39,32.33667190503711,256.36374042772246,59.88180987693247,-1.006414932914852
40,18.216684199549732,263.56041703515604,58.270530107833366,-1.252855208716726
41,111.13035582287564,294.5011671370702,57.75780643471457,0.36879428122713576
42,172.6947059354843,257.54721913162706,56.413047683305095,1.443294892542699
43,72.1753584044182,223.465981228503,55.80390214580991,-0.3110986838308379
44,177.58723301765772,227.68491789709574,48.103584951799576,1.528685598869616
45,108.48737769922619,229.55849558421784,54.050315541438806,0.32266561091127094
46,86.72732481879355,287.7296893816211,53.796449790420695,-0.05711895726035469
47,39.41288450069828,214.49321060541124,63.855835013580865,-0.8829117245494702
48,45.689135930918525,292.0196451258811,57.327585257445065,-0.7733704724091238
49,41.76200005808522,277.3207805761398,56.70306230273281,-0.8419119235632463
50,45.03591990423979,146.12424169649017,48.32041296090352,-0.7847712428014628
51,87.51072459889012,286.743933887593,57.86916110402589,-0.043446051738269875
SuperIndianSaila Pic 5 total count is ,13
