Grain Number,Angle in degrees,Length of rice,Width of rice,Orientation in Radian
0,155.76740669912357,201.28039369371447,38.55686702174864,1.1478577873978821
1,32.938854696367805,187.0695034270646,41.974858360717015,-0.9959048605072812
2,12.821028860806749,163.17976673278974,36.23563090648103,-1.347027159680601
3,176.25458041646039,201.6763525086312,38.46907997684912,1.5054264231934558
4,1.9668780804223047,176.92891307479198,36.87628775564708,-1.5364678283062216
5,29.86364659198793,188.1491745260482,37.169265577950625,-1.0495773671127235
6,122.55151756250055,174.34136718020144,35.85473829850664,0.5681311579863935
7,98.478541983304,190.9323981559402,42.84474885035737,0.1479784733772249
8,1.538394881784825,187.83430206727118,38.64189789961239,-1.5439462709119225
9,73.57355821574222,197.30802713300307,35.12669618720279,-0.28669549352247015
10,127.17526745102136,202.30424129002304,40.48878923068458,0.6488308173298024
11,16.851878143631865,196.6209719524297,41.550366682915424,-1.2766755680436506
12,174.45821847761658,172.9363415496221,34.15635128736568,1.4740739928031221
13,55.77154807124848,184.30891544749565,39.52780292383781,-0.5973991840173175
14,18.053155378054726,165.85162490582672,35.702548201298086,-1.25570932507372
15,69.21289412791504,179.02107900489986,36.510035706923745,-0.36280343942852983
16,16.395366553872734,153.6892579203475,44.915034232495344,-1.2846431983584612
17,48.963878405580566,183.06085677559426,43.60995703771034,-0.7162154340713642
18,117.76837279333118,185.9624444014348,40.82547129587502,0.4846495331648441
superkernalbasmatipurani Pic 1 total count is ,19
19,178.35218008348002,493.37332073702703,73.97151174409335,1.542036443771685
20,158.40063622838724,268.90842353415275,143.51773119971176,1.1938163126442733
21,67.74315379918222,218.32513841443966,45.53335158437068,-0.3884552473142612
22,41.95715896709705,224.26820568927397,47.46442332008438,-0.8385057580363898
23,1.0921976351018543,211.59070060066819,49.08820743006233,-1.5517338819798736
24,51.22112051812859,261.05262232879977,60.11376395407851,-0.6768191271927287
25,176.8435233549815,257.61432875363914,51.049085650902214,1.5157054165770194
26,15.912844957137864,210.8197459615783,46.751455685063796,-1.293064788933465
27,15.017040297932198,191.91101780906573,57.916045164533,-1.3086995296913095
28,115.93437827331903,234.56320912979132,56.44086832560907,0.4526402903270988
29,97.67816800780864,233.55893793896632,45.896311311934824,0.1340093122575544
30,137.53761250520822,228.96817388500378,55.78123856580072,0.8296878567531134
31,21.102828555191536,230.8607779184871,62.43914213235103,-1.2024824870229263
superkernalbasmatipurani Pic 2 total count is ,13
32,174.7991389288353,249.52447107589222,54.01082697295578,1.4800241771642733
33,166.17875332429895,250.2781526122158,49.06615615560501,1.3295700655735927
34,63.19042995368509,235.62530697723574,55.7666454300137,-0.46791526835224384
35,92.16454896364685,233.55816805004488,53.032934037239436,0.03777850623626858
36,23.874262412541356,259.86750003065004,58.65599644931978,-1.1541118412109252
37,30.088558868649173,231.31515050807442,55.44119575860247,-1.0456519073568284
38,88.78256750093968,264.4268767759404,62.31532548370482,-0.021248205529385448
39,153.4930288863644,264.55058612256886,48.15935361798422,1.1081624061309274
40,22.578889476720235,251.73259701189374,60.72714889219227,-1.176720363982229
41,45.72226803450833,251.2297836928414,58.29085981751266,-0.7727922081133699
42,40.054573102360884,246.44768186955295,50.91570897275607,-0.8717121456779394
43,14.391925526146139,223.407129955388,49.0042694176882,-1.3196098406618293
44,12.830781824115647,202.10014903868333,60.23019972611786,-1.3468569383590345
45,44.022265899357805,231.53592036228613,55.183409158364924,-0.8024628426626802
46,132.69121349741926,231.52702624863744,70.60187034583039,0.7451022372018098
superkernalbasmatipurani Pic 3 total count is ,15
47,118.72350614767427,214.0072745771706,47.2763383323896,0.5013197549937487
48,177.41154639523634,188.04251186071394,42.405362427552305,1.5256192888566549
49,166.15723187715713,216.44379274930853,41.474546691566616,1.3291944454611735
50,14.542200620682507,220.31003363982293,42.20400786511284,-1.3169870454784238
51,23.643477274974586,218.80134697512534,50.08875000397893,-1.1581398017261333
52,89.2724519703705,223.1388646601992,50.97046583980082,-0.012698108583432125
53,124.75246302516331,192.51304303647933,41.79530105796518,0.6065449029666886
54,151.005423039959,225.48736929319625,40.74792690522601,1.0647454936192928
55,179.24443018734348,211.71213767022152,51.65586946703559,1.5576091458353634
56,67.37261730497926,203.66783289744623,163.86003887944025,-0.39492232913689973
57,46.085863503941354,210.44262501261935,48.7992599357204,-0.7664462700264292
58,40.55567651702677,202.78486291909314,42.489221476582244,-0.8629662411990333
59,14.891392012034657,187.7045223022337,40.94496393054256,-1.3108925059797087
60,12.952861682340853,172.2451796090209,49.95830754765631,-1.3447262428826368
61,44.62492397344027,194.18750684439678,44.99322143295392,-0.7919444750062133
62,132.41012132082668,195.60582690208207,58.92962734630095,0.7401962532186719
superkernalbasmatipurani Pic 4 total count is ,16
63,86.72414358319067,237.72129914893375,49.67196740267924,-0.05717448029590659
64,154.96172736808785,253.41117428085613,51.751037052036075,1.133796030356043
65,178.48820292732088,249.2653604573854,56.102343209132506,1.544410490254634
66,68.90604206144843,265.7017474193788,110.52796631528122,-0.3681590183049207
67,21.321714532818348,224.11547909738943,51.780644818696594,-1.1986622060268919
68,39.11685697931743,216.15955718470516,51.5338939028908,-0.888078379474084
69,43.315238360553025,213.49499234476545,51.606568781325215,-0.8148028011170956
70,89.47859031530827,250.36103817554016,57.58169627222,-0.009100315749656262
71,1.1467604100503621,238.56633624251978,56.56994428906127,-1.5507815819079975
72,42.90902456642904,202.35551429861246,45.68762446357356,-0.8218925692915775
73,153.30963244430035,206.68323166740598,50.354862057797234,1.1049615343804666
74,19.926522774230463,194.12227051435744,53.26477839519788,-1.2230128959109403
75,46.732239281095154,234.3590041525301,55.01994732973458,-0.7551648845099582
76,71.7393415538108,240.39235584553379,46.628997043353344,-0.3187086134681132
77,144.70703108416865,221.32026327319218,54.52817568426039,0.9548178164096262
78,133.75772973848046,218.90551570656163,65.77602910089117,0.7637164571343213
superkernalbasmatipurani Pic 5 total count is ,16
