Grain Number,Angle in degrees,Length of rice,Width of rice,Orientation in Radian
0,40.600882548167135,187.47028683851175,67.58039907682245,-0.8621772471138749
1,65.41918226425247,170.59314806559823,72.13625319530384,-0.42901620232141185
2,90.82183002161624,75.50593450741027,63.24847738004533,0.014343639768939475
3,109.20977794583396,108.84268001731006,41.4817536753426,0.33527387373179574
4,49.28914262007842,107.03541464959144,58.680900325427864,-0.7105385025894636
5,7.364560379571643,73.85454097905884,52.964985133029906,-1.442260500209448
6,10.671121150896965,159.00402894647274,65.41275867315406,-1.3845501278325378
7,133.25003984317848,113.81740862126736,76.39599600048814,0.7548555968821965
8,27.944004546395554,100.83408668099148,51.100369320601615,-1.0830814412680296
9,126.6036756919637,148.54618000696223,68.37206230324044,0.6388546591569804
10,0.899284099720532,133.329876266487,52.8701273958421,-1.5551008583439403
11,148.66287634219714,136.90490927002634,67.20529439116955,1.0238603408616278
12,70.79342078230016,165.62761089018286,63.095130852416005,-0.33521804539397887
13,70.56976188283937,143.26962740116164,59.1021208909351,-0.3391216295909567
14,158.21610783619846,109.78547013668903,68.16090880578221,1.190595684637168
15,33.8938287499006,117.37245059310014,53.70421498866345,-0.9792374190020174
16,105.63435512837414,86.06449219519563,42.25818701087173,0.27287097341618943
superIndianAdhwar Pic 1 total count is ,17
17,66.25586777276429,164.72828509322252,67.49402172988498,-0.41441328539415756
18,69.03740791777378,72.45135983917139,57.75194784891198,-0.3658662515873416
19,109.34402843202312,104.82728805559738,39.15580086897279,0.3376169867381995
20,53.05487604666681,101.91639322886944,55.66134230515559,-0.644814055543088
21,9.189555254788644,150.62793000859477,62.56874206453544,-1.4104083308048883
22,130.71003212835885,107.9967360833419,73.18127158346249,0.7105240992325368
23,117.67045040122697,127.83301963751784,64.66509792901894,0.4829404650111966
24,124.20422680257386,143.69477734433463,65.48986240641892,0.5969763758038064
25,117.8588065659253,177.9963610410201,63.2558114811693,0.48622790025161144
26,179.17367840019332,126.88770666076219,50.070125146386935,1.556374294197923
27,144.12208863306293,129.78329693228065,64.80697981097309,0.9446086447031452
28,47.662444253473375,104.24476007811597,64.92926415420034,-0.7389297450235354
29,7.9122013982749735,130.15631012022044,57.60411617022488,-1.432702361314099
30,157.5224293697621,153.53738274281693,52.43610794531993,1.178488711447668
superIndianAdhwar Pic 2 total count is ,14
31,64.81343302231235,78.79826719168507,63.8998731641515,-0.4395885210347265
32,64.64371624010755,177.49665133368234,73.81719229396877,-0.4425506376800906
33,111.02300673631996,112.71257671321915,43.38180441963706,0.36692068621773066
34,73.1705195118908,167.10274226437457,54.01742500080149,-0.2937298459176479
35,173.5264020996573,170.10934221157007,62.47347113696763,1.4578107289837248
36,102.74006118915307,90.12964630765393,53.7193188455039,0.22235601465626514
37,5.487521553525596,109.432161958494,58.420625361127826,-1.4750210079117207
38,112.39751476855363,136.87225652314194,70.68197332629789,0.3909103769753168
39,51.643454805537566,146.09497633922823,63.44603354712618,-0.6694480033333782
40,123.18492272413913,154.7601482424901,72.49828290467856,0.5791861635561137
41,52.15074714670367,126.07065914233551,55.147983840033646,-0.6605940817098792
42,54.04526969340942,131.45831981153296,60.73977315413771,-0.6275284255165958
43,116.9759157404031,192.02350492107595,68.21670145981264,0.4708185484105979
44,158.65455709870278,140.69739755142044,58.11038293959807,1.1982480678708092
45,45.44681877716999,113.22471540393528,70.13898205790684,-0.7775997045760972
46,6.994876759830987,140.85223681235476,61.17756016107384,-1.4487126965646133
47,155.53085351084576,166.1456983847063,56.268379961757844,1.1437291554063442
superIndianAdhwar Pic 3 total count is ,17
48,68.3857392313499,72.48647826931753,56.965535649339905,-0.37724001579758465
49,123.46336999858879,174.3279040507783,65.9559297844074,0.5840459852884646
50,0.16112905144314027,112.87856573747521,43.550639064111834,-1.5679840943265984
51,91.12326164472356,229.92623232026298,70.85697053988025,0.019604614061792768
52,178.52235579940455,132.2397001915683,66.69684973157207,1.5450065703215063
53,66.87071012194443,144.02844161650162,61.88732770045024,-0.40368226202026747
54,51.3460825388267,154.92235967996845,66.25012476438275,-0.6746381284916015
55,68.91303977974243,115.72566670470258,52.293013432632854,-0.36803688508056326
56,91.91797267462442,109.26589089386191,54.05141332262187,0.03347493813547805
57,162.37027249983004,184.66140404661226,63.06872175124503,1.2630995356875414
58,158.81836502224778,130.8795037009507,59.79429776980582,1.2011070554775245
superIndianAdhwar Pic 4 total count is ,11
59,79.67508758995146,171.58661212976654,67.88451335025948,-0.1802037165353699
60,68.46744910252775,78.93153121731986,60.48586860306886,-0.37581390951415056
61,123.52369246075645,191.42034774905125,72.6877487009046,0.5850988108661999
62,120.11540388502269,339.85298411534365,67.72134621928343,0.5256129533615378
63,179.5550109592167,144.29043145753076,72.81279127338667,1.5630298028979368
64,113.94803134804079,145.3157860904838,63.66448816445638,0.4179719963941277
65,67.95784452639444,154.0887385329938,71.4136790564995,-0.38470818725090716
66,46.24365102917077,166.03145772598324,75.17167562723776,-0.7636923581926023
67,65.41237181721152,124.13103669890502,58.03072165821133,-0.4291350670458091
68,55.05504530683745,114.52402118716282,76.81411688443848,-0.6099045163559312
superIndianAdhwar Pic 5 total count is ,10
